# Timeout: 10
# Number of formulas: 1000
Formula; sat; time
eq545.txt.smt2; sat           ; 0.05
eq546.txt.smt2; sat           ; 0.05
eq547.txt.smt2; sat           ; 0.07
eq548.txt.smt2; sat           ; 0.09
eq549.txt.smt2; sat           ; 0.08
eq55.txt.smt2; sat            ; 0.08
eq550.txt.smt2; sat           ; 0.09
eq551.txt.smt2; sat           ; 0.07
eq552.txt.smt2; sat           ; 0.32
eq553.txt.smt2; sat           ; 0.02
eq554.txt.smt2; sat           ; 0.03
eq555.txt.smt2; sat           ; 0.09
eq556.txt.smt2; sat           ; 0.09
eq557.txt.smt2; sat           ; 0.04
eq558.txt.smt2; sat           ; 0.09
eq559.txt.smt2; sat           ; 0.08
eq56.txt.smt2; sat            ; 0.04
eq560.txt.smt2; sat           ; 0.06
eq561.txt.smt2; sat           ; 0.05
eq562.txt.smt2; sat           ; 0.07
eq563.txt.smt2; sat           ; 0.08
eq564.txt.smt2; sat           ; 0.08
eq565.txt.smt2; sat           ; 0.04
eq566.txt.smt2; sat           ; 0.06
eq567.txt.smt2; sat           ; 0.04
eq568.txt.smt2; sat           ; 0.03
eq569.txt.smt2; sat           ; 0.04
eq57.txt.smt2; sat            ; 0.06
eq570.txt.smt2; sat           ; 0.14
eq571.txt.smt2; sat           ; 0.02
eq572.txt.smt2; sat           ; 0.02
eq573.txt.smt2; sat           ; 0.06
eq574.txt.smt2; sat           ; 0.02
eq575.txt.smt2; sat           ; 0.04
eq576.txt.smt2; sat           ; 0.07
eq577.txt.smt2; sat           ; 0.07
eq578.txt.smt2; sat           ; 0.07
eq579.txt.smt2; sat           ; 0.14
eq58.txt.smt2; sat            ; 0.09
eq580.txt.smt2; sat           ; 0.08
eq581.txt.smt2; sat           ; 0.03
eq582.txt.smt2; sat           ; 0.07
eq583.txt.smt2; sat           ; 0.03
eq584.txt.smt2; sat           ; 0.05
eq585.txt.smt2; sat           ; 0.06
eq586.txt.smt2; sat           ; 0.09
eq587.txt.smt2; sat           ; 0.05
eq588.txt.smt2; sat           ; 0.07
eq589.txt.smt2; sat           ; 0.03
eq59.txt.smt2; sat            ; 0.06
eq590.txt.smt2; sat           ; 0.03
eq591.txt.smt2; sat           ; 0.07
eq592.txt.smt2; sat           ; 0.14
eq593.txt.smt2; sat           ; 0.07
eq594.txt.smt2; sat           ; 0.09
eq595.txt.smt2; sat           ; 0.1
eq596.txt.smt2; sat           ; 0.06
eq597.txt.smt2; sat           ; 0.04
eq598.txt.smt2; sat           ; 0.03
eq599.txt.smt2; sat           ; 0.02
eq6.txt.smt2; sat             ; 0.07
eq60.txt.smt2; sat            ; 0.05
eq600.txt.smt2; sat           ; 0.07
eq601.txt.smt2; sat           ; 0.08
eq602.txt.smt2; sat           ; 0.1
eq603.txt.smt2; sat           ; 0.03
eq604.txt.smt2; sat           ; 0.02
eq605.txt.smt2; sat           ; 0.02
eq606.txt.smt2; sat           ; 0.09
eq607.txt.smt2; sat           ; 0.05
eq608.txt.smt2; sat           ; 0.07
eq609.txt.smt2; sat           ; 0.09
eq61.txt.smt2; sat            ; 0.07
eq610.txt.smt2; sat           ; 0.07
eq611.txt.smt2; sat           ; 0.03
eq612.txt.smt2; sat           ; 0.06
eq613.txt.smt2; sat           ; 0.06
eq614.txt.smt2; sat           ; 0.09
eq615.txt.smt2; sat           ; 0.03
eq616.txt.smt2; sat           ; 0.06
eq617.txt.smt2; sat           ; 0.05
eq618.txt.smt2; sat           ; 0.06
eq619.txt.smt2; sat           ; 0.04
eq62.txt.smt2; sat            ; 0.02
eq620.txt.smt2; sat           ; 0.07
eq621.txt.smt2; sat           ; 0.06
eq622.txt.smt2; sat           ; 0.06
eq623.txt.smt2; sat           ; 0.03
eq624.txt.smt2; sat           ; 0.07
eq625.txt.smt2; sat           ; 0.05
