#Timeout: 10
#Number of formulas: 1000
Formula; sat; time
eq596.txt.smt2; sat                        ;	 0.08
eq597.txt.smt2; TO                         ;	 TO
eq598.txt.smt2; sat                        ;	 0.08
eq599.txt.smt2; sat                        ;	 0.11
eq6.txt.smt2; sat                          ;	 3.83
eq60.txt.smt2; TO                          ;	 TO
eq600.txt.smt2; TO                         ;	 TO
eq601.txt.smt2; sat                        ;	 0.18
eq602.txt.smt2; TO                         ;	 TO
eq603.txt.smt2; sat                        ;	 0.03
eq604.txt.smt2; sat                        ;	 0.04
eq605.txt.smt2; TO                         ;	 TO
eq606.txt.smt2; sat                        ;	 0.11
eq607.txt.smt2; sat                        ;	 4.47
eq608.txt.smt2; TO                         ;	 TO
eq609.txt.smt2; sat                        ;	 6.57
eq61.txt.smt2; sat                         ;	 1.16
eq610.txt.smt2; sat                        ;	 0.22
eq611.txt.smt2; sat                        ;	 0.56
eq612.txt.smt2; TO                         ;	 TO
eq613.txt.smt2; TO                         ;	 TO
eq614.txt.smt2; sat                        ;	 0.48
eq615.txt.smt2; sat                        ;	 0.05
eq616.txt.smt2; TO                         ;	 TO
eq617.txt.smt2; sat                        ;	 0.2
eq618.txt.smt2; sat                        ;	 5.57
eq619.txt.smt2; sat                        ;	 0.82
eq62.txt.smt2; sat                         ;	 3.52
eq620.txt.smt2; sat                        ;	 0.72
eq621.txt.smt2; sat                        ;	 1.5
eq622.txt.smt2; TO                         ;	 TO
eq623.txt.smt2; sat                        ;	 0.05
eq624.txt.smt2; TO                         ;	 TO
eq625.txt.smt2; sat                        ;	 0.16
eq626.txt.smt2; sat                        ;	 0.16
eq627.txt.smt2; sat                        ;	 0.04
eq628.txt.smt2; TO                         ;	 TO
eq629.txt.smt2; sat                        ;	 0.05
eq63.txt.smt2; sat                         ;	 0.06
eq630.txt.smt2; sat                        ;	 0.1
eq631.txt.smt2; TO                         ;	 TO
eq632.txt.smt2; TO                         ;	 TO
eq633.txt.smt2; sat                        ;	 0.07
eq634.txt.smt2; sat                        ;	 0.03
eq635.txt.smt2; sat                        ;	 1.31
eq636.txt.smt2; sat                        ;	 0.34
eq637.txt.smt2; sat                        ;	 0.35
eq638.txt.smt2; sat                        ;	 0.69
eq639.txt.smt2; TO                         ;	 TO
eq64.txt.smt2; TO                          ;	 TO
eq640.txt.smt2; sat                        ;	 0.04
eq641.txt.smt2; sat                        ;	 0.12
eq642.txt.smt2; sat                        ;	 0.04
eq643.txt.smt2; TO                         ;	 TO
eq644.txt.smt2; TO                         ;	 TO
eq645.txt.smt2; TO                         ;	 TO
eq646.txt.smt2; sat                        ;	 0.57
eq647.txt.smt2; TO                         ;	 TO
eq648.txt.smt2; TO                         ;	 TO
