# Timeout: 10
# Number of formulas: 1000
Formula; sat; time; check
eq558.txt.smt2; TO            ; TO   ; TO
eq559.txt.smt2; TO            ; TO   ; TO
eq56.txt.smt2; Sat            ; 2.64 ; True
eq560.txt.smt2; TO            ; TO   ; TO
eq561.txt.smt2; TO            ; TO   ; TO
eq562.txt.smt2; TO            ; TO   ; TO
eq563.txt.smt2; TO            ; TO   ; TO
eq564.txt.smt2; TO            ; TO   ; TO
eq565.txt.smt2; Sat           ; 2.57 ; True
eq566.txt.smt2; TO            ; TO   ; TO
eq567.txt.smt2; TO            ; TO   ; TO
eq568.txt.smt2; Sat           ; 2.49 ; True
eq569.txt.smt2; TO            ; TO   ; TO
eq57.txt.smt2; TO             ; TO   ; TO
eq570.txt.smt2; TO            ; TO   ; TO
eq571.txt.smt2; Sat           ; 2.61 ; True
eq572.txt.smt2; Sat           ; 2.69 ; True
eq573.txt.smt2; TO            ; TO   ; TO
eq574.txt.smt2; Sat           ; 2.59 ; True
eq575.txt.smt2; TO            ; TO   ; TO
eq576.txt.smt2; TO            ; TO   ; TO
eq577.txt.smt2; TO            ; TO   ; TO
eq578.txt.smt2; TO            ; TO   ; TO
eq579.txt.smt2; TO            ; TO   ; TO
eq58.txt.smt2; TO             ; TO   ; TO
eq580.txt.smt2; TO            ; TO   ; TO
eq581.txt.smt2; Sat           ; 2.5  ; True
eq582.txt.smt2; TO            ; TO   ; TO
eq583.txt.smt2; TO            ; TO   ; TO
eq584.txt.smt2; TO            ; TO   ; TO
eq585.txt.smt2; TO            ; TO   ; TO
eq586.txt.smt2; TO            ; TO   ; TO
eq587.txt.smt2; TO            ; TO   ; TO
eq588.txt.smt2; TO            ; TO   ; TO
eq589.txt.smt2; TO            ; TO   ; TO
eq59.txt.smt2; TO             ; TO   ; TO
eq590.txt.smt2; TO            ; TO   ; TO
eq591.txt.smt2; TO            ; TO   ; TO
eq592.txt.smt2; TO            ; TO   ; TO
eq593.txt.smt2; TO            ; TO   ; TO
eq594.txt.smt2; TO            ; TO   ; TO
eq595.txt.smt2; TO            ; TO   ; TO
eq596.txt.smt2; TO            ; TO   ; TO
eq597.txt.smt2; TO            ; TO   ; TO
eq598.txt.smt2; TO            ; TO   ; TO
eq599.txt.smt2; Sat           ; 2.6  ; True
eq6.txt.smt2; TO              ; TO   ; TO
