Timeout: 150
Number of formulas: 1000
Formula: time, sat
eq861.txt: TO	 TO
eq862.txt: TO	 TO
eq863.txt: Sat	 115.43
eq864.txt: TO	 TO
eq865.txt: TO	 TO
eq866.txt: TO	 TO
eq867.txt: TO	 TO
eq868.txt: Sat	 2.42
eq869.txt: TO	 TO
eq87.txt: TO	 TO
eq870.txt: TO	 TO
eq871.txt: TO	 TO
eq872.txt: Sat	 99.41
eq873.txt: TO	 TO
eq874.txt: TO	 TO
eq875.txt: TO	 TO
eq876.txt: TO	 TO
eq877.txt: Sat	 95.93
eq878.txt: TO	 TO
eq879.txt: TO	 TO
eq88.txt: Sat	 114.98
eq880.txt: TO	 TO
eq881.txt: TO	 TO
eq882.txt: Sat	 98.15
eq883.txt: TO	 TO
eq884.txt: TO	 TO
eq885.txt: Sat	 99.51
eq886.txt: TO	 TO
eq887.txt: TO	 TO
eq888.txt: TO	 TO
eq889.txt: TO	 TO
eq89.txt: TO	 TO
eq890.txt: TO	 TO
eq891.txt: TO	 TO
eq892.txt: Sat	 118.38
eq893.txt: TO	 TO
eq894.txt: Sat	 96.45
eq895.txt: TO	 TO
eq896.txt: TO	 TO
eq897.txt: TO	 TO
eq9.txt: Sat	 119.62
eq90.txt: TO	 TO
eq91.txt: TO	 TO
eq92.txt: TO	 TO
eq93.txt: Sat	 115.32
eq94.txt: Sat	 119.08
eq95.txt: TO	 TO
eq96.txt: Sat	 109.82
eq97.txt: TO	 TO
eq98.txt: TO	 TO
eq99.txt: Sat	 99.5
