Timeout: 150
Number of formulas: 1000
Formula: time, sat
eq832.txt: TO	 TO
eq833.txt: TO	 TO
eq834.txt: Sat	 2.52
eq835.txt: TO	 TO
eq836.txt: Sat	 59.2
eq837.txt: Sat	 61.17
eq838.txt: TO	 TO
eq839.txt: Sat	 60.63
eq84.txt: TO	 TO
eq840.txt: TO	 TO
eq841.txt: TO	 TO
eq842.txt: TO	 TO
eq843.txt: TO	 TO
eq844.txt: Sat	 2.54
eq845.txt: TO	 TO
eq846.txt: Sat	 61.11
eq847.txt: TO	 TO
eq848.txt: TO	 TO
eq849.txt: Sat	 55.03
eq85.txt: TO	 TO
eq850.txt: TO	 TO
eq851.txt: Sat	 59.45
eq852.txt: Sat	 2.61
eq853.txt: Sat	 58.9
eq854.txt: TO	 TO
eq855.txt: TO	 TO
eq856.txt: TO	 TO
eq857.txt: Sat	 2.49
eq858.txt: TO	 TO
eq859.txt: TO	 TO
