#Timeout: 10
#Number of formulas: 1000
Formula; sat; time
quad-length-173-4-2-sat.smt2; TO     ;	 TO
quad-length-174-4-2-unsat.smt2; unsat;	 0.03
quad-length-175-4-3-sat.smt2; TO     ;	 TO
quad-length-176-4-3-unsat.smt2; unsat;	 0.03
quad-length-177-4-3-sat.smt2; TO     ;	 TO
quad-length-178-4-3-unsat.smt2; unsat;	 0.03
quad-length-179-4-3-sat.smt2; TO     ;	 TO
quad-length-180-4-3-unsat.smt2; unsat;	 0.03
quad-length-181-4-2-sat.smt2; TO     ;	 TO
quad-length-182-4-2-unsat.smt2; unsat;	 0.03
quad-length-183-4-3-sat.smt2; TO     ;	 TO
quad-length-184-4-3-unsat.smt2; unsat;	 0.03
quad-length-185-4-4-sat.smt2; TO     ;	 TO
quad-length-186-4-4-unsat.smt2; unsat;	 0.02
quad-length-187-4-4-sat.smt2; TO     ;	 TO
quad-length-188-4-4-unsat.smt2; unsat;	 0.03
quad-length-189-4-4-sat.smt2; TO     ;	 TO
quad-length-190-4-4-unsat.smt2; unsat;	 0.03
quad-length-191-4-1-sat.smt2; TO     ;	 TO
quad-length-192-4-1-unsat.smt2; TO   ;	 TO
quad-length-193-4-2-sat.smt2; TO     ;	 TO
quad-length-194-4-2-unsat.smt2; TO   ;	 TO
quad-length-195-4-1-sat.smt2; TO     ;	 TO
quad-length-196-4-1-unsat.smt2; TO   ;	 TO
quad-length-197-4-2-sat.smt2; TO     ;	 TO
quad-length-198-4-2-unsat.smt2; TO   ;	 TO
quad-length-199-4-1-sat.smt2; TO     ;	 TO
quad-length-200-4-1-unsat.smt2; unsat;	 0.03
quad-length-201-4-2-sat.smt2; TO     ;	 TO
quad-length-202-4-2-unsat.smt2; unsat;	 0.03
quad-length-203-4-2-sat.smt2; TO     ;	 TO
quad-length-204-4-2-unsat.smt2; unsat;	 0.02
quad-length-205-4-3-sat.smt2; TO     ;	 TO
quad-length-206-4-3-unsat.smt2; unsat;	 0.03
